# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences
ECED;1F6A9 # KDDIb
E6DE;1F6A9 # Docomo
FEB22;1F6A9 # Google
E714;1F6AA # Docomo
FE4F3;1F6AA # Google
E541;1F6AB # KDDIa
F05D;1F6AB # KDDIb
FEB48;1F6AB # Google
E30E;1F6AC # Softbank
E47D;1F6AC # KDDIa
EF55;1F6AC # KDDIb
E67F;1F6AC # Docomo
FEB1E;1F6AC # Google
E208;1F6AD # Softbank
E47E;1F6AD # KDDIa
EF56;1F6AD # KDDIb
E680;1F6AD # Docomo
FEB1F;1F6AD # Google
E136;1F6B2 # Softbank
E4AE;1F6B2 # KDDIa
EF87;1F6B2 # KDDIb
E71D;1F6B2 # Docomo
FE7EB;1F6B2 # Google
E201;1F6B6 # Softbank
EB72;1F6B6 # KDDIa
ED76;1F6B6 # KDDIb
FE7F0;1F6B6 # Google
E138;1F6B9 # Softbank
FEB33;1F6B9 # Google
E139;1F6BA # Softbank
FEB34;1F6BA # Google
E151;1F6BB # Softbank
E4A5;1F6BB # KDDIa
EF7D;1F6BB # KDDIb
E66E;1F6BB # Docomo
FE506;1F6BB # Google
E13A;1F6BC # Softbank
FEB35;1F6BC # Google
E140;1F6BD # Softbank
FE507;1F6BD # Google
E309;1F6BE # Softbank
FE508;1F6BE # Google
E13F;1F6C0 # Softbank
E5D8;1F6C0 # KDDIa
EC4B;1F6C0 # KDDIb
FE505;1F6C0 # Google
E23C;23E9 # Softbank
E530;23E9 # KDDIa
F04C;23E9 # KDDIb
FEAFE;23E9 # Google
E58D;2002 # KDDIa
F0AA;2002 # KDDIb
 # Google
E58C;2003 # KDDIa
F0A9;2003 # KDDIb
 # Google
E58E;2005 # KDDIa
F0AB;2005 # KDDIb
 # Google
EB30;203C # KDDIa
ECF1;203C # KDDIb
E704;203C # Docomo
FEB06;203C # Google
EB2F;2049 # KDDIa
ECF0;2049 # KDDIb
E703;2049 # Docomo
FEB05;2049 # Google
E537;2122 # Softbank
E54E;2122 # KDDIa
F06A;2122 # KDDIb
E732;2122 # Docomo
FEB2A;2122 # Google
E533;2139 # KDDIa
F04F;2139 # KDDIb
FEB47;2139 # Google
EB7A;2194 # KDDIa
ED7E;2194 # KDDIb
E73C;2194 # Docomo
FEAF6;2194 # Google
EB7B;2195 # KDDIa
ED80;2195 # KDDIb
E73D;2195 # Docomo
FEAF7;2195 # Google
E237;2196 # Softbank
E54C;2196 # KDDIa
F068;2196 # KDDIb
E697;2196 # Docomo
FEAF2;2196 # Google
E236;2197 # Softbank
E555;2197 # KDDIa
F071;2197 # KDDIb
E678;2197 # Docomo
FEAF0;2197 # Google
E238;2198 # Softbank
E54D;2198 # KDDIa
F069;2198 # KDDIb
E696;2198 # Docomo
FEAF1;2198 # Google
E239;2199 # Softbank
E556;2199 # KDDIa
F072;2199 # KDDIb
E6A5;2199 # Docomo
FEAF3;2199 # Google
E55D;21A9 # KDDIa
F079;21A9 # KDDIb
E6DA;21A9 # Docomo
FEB83;21A9 # Google
E55C;21AA # KDDIa
F078;21AA # KDDIb
FEB88;21AA # Google
E57A;231A # KDDIa
F097;231A # KDDIb
E71F;231A # Docomo
FE01D;231A # Google
E57B;231B # KDDIa
F098;231B # KDDIb
FE01C;231B # Google
E23D;23EA # Softbank
E52F;23EA # KDDIa
F04B;23EA # KDDIb
FEAFF;23EA # Google
E545;23EB # KDDIa
F061;23EB # KDDIb
FEB03;23EB # Google
E544;23EC # KDDIa
F060;23EC # KDDIb
FEB02;23EC # Google
E594;23F0 # KDDIa
F0B1;23F0 # KDDIb
E6BA;23F0 # Docomo
FE02A;23F0 # Google
E47C;23F3 # KDDIa
EF54;23F3 # KDDIb
E71C;23F3 # Docomo
FE01B;23F3 # Google
E65C;24C2 # Docomo
FE7E1;24C2 # Google
E532;25AA # KDDIa
F04E;25AA # KDDIb
FEB6E;25AA # Google
E531;25AB # KDDIa
F04D;25AB # KDDIb
FEB6D;25AB # Google
E23A;25B6 # Softbank
E52E;25B6 # KDDIa
F04A;25B6 # KDDIb
FEAFC;25B6 # Google
E23B;25C0 # Softbank
E52D;25C0 # KDDIa
F049;25C0 # KDDIb
FEAFD;25C0 # Google
E538;25FB # KDDIa
F054;25FB # KDDIb
FEB71;25FB # Google
E539;25FC # KDDIa
F055;25FC # KDDIb
FEB72;25FC # Google
E534;25FD # KDDIa
F050;25FD # KDDIb
FEB6F;25FD # Google
E535;25FE # KDDIa
F051;25FE # KDDIb
FEB70;25FE # Google
E04A;2600 # Softbank
E488;2600 # KDDIa
EF60;2600 # KDDIb
E63E;2600 # Docomo
FE000;2600 # Google
E049;2601 # Softbank
E48D;2601 # KDDIa
EF65;2601 # KDDIb
E63F;2601 # Docomo
FE001;2601 # Google
E009;260E # Softbank
E596;260E # KDDIa
F0B3;260E # KDDIb
E687;260E # Docomo
FE523;260E # Google
EB02;2611 # KDDIa
F0D9;2611 # KDDIb
FEB8B;2611 # Google
E04B;2614 # Softbank
E48C;2614 # KDDIa
EF64;2614 # KDDIb
E640;2614 # Docomo
FE002;2614 # Google
E045;2615 # Softbank
E597;2615 # KDDIa
F0B4;2615 # KDDIb
E670;2615 # Docomo
FE981;2615 # Google
E00F;261D # Softbank
E4F6;261D # KDDIa
EFCF;261D # KDDIb
FEB98;261D # Google
E414;263A # Softbank
E4FB;263A # KDDIa
EFD4;263A # KDDIb
FE336;263A # Google
E23F;2648 # Softbank
E48F;2648 # KDDIa
EF67;2648 # KDDIb
E646;2648 # Docomo
FE02B;2648 # Google
E240;2649 # Softbank
E490;2649 # KDDIa
EF68;2649 # KDDIb
E647;2649 # Docomo
FE02C;2649 # Google
E241;264A # Softbank
E491;264A # KDDIa
EF69;264A # KDDIb
E648;264A # Docomo
FE02D;264A # Google
E242;264B # Softbank
E492;264B # KDDIa
EF6A;264B # KDDIb
E649;264B # Docomo
FE02E;264B # Google
E243;264C # Softbank
E493;264C # KDDIa
EF6B;264C # KDDIb
E64A;264C # Docomo
FE02F;264C # Google
E244;264D # Softbank
E494;264D # KDDIa
EF6C;264D # KDDIb
E64B;264D # Docomo
FE030;264D # Google
E245;264E # Softbank
E495;264E # KDDIa
EF6D;264E # KDDIb
E64C;264E # Docomo
FE031;264E # Google
E246;264F # Softbank
E496;264F # KDDIa
EF6E;264F # KDDIb
E64D;264F # Docomo
FE032;264F # Google
E247;2650 # Softbank
E497;2650 # KDDIa
EF6F;2650 # KDDIb
E64E;2650 # Docomo
FE033;2650 # Google
E248;2651 # Softbank
E498;2651 # KDDIa
EF70;2651 # KDDIb
E64F;2651 # Docomo
FE034;2651 # Google
E249;2652 # Softbank
E499;2652 # KDDIa
EF71;2652 # KDDIb
E650;2652 # Docomo
FE035;2652 # Google
E24A;2653 # Softbank
E49A;2653 # KDDIa
EF72;2653 # KDDIb
E651;2653 # Docomo
FE036;2653 # Google
E20E;2660 # Softbank
E5A1;2660 # KDDIa
F0BE;2660 # KDDIb
E68E;2660 # Docomo
FEB1B;2660 # Google
E20F;2663 # Softbank
E5A3;2663 # KDDIa
F0C0;2663 # KDDIb
E690;2663 # Docomo
FEB1D;2663 # Google
E20C;2665 # Softbank
EAA5;2665 # KDDIa
EC78;2665 # KDDIb
E68D;2665 # Docomo
FEB1A;2665 # Google
E20D;2666 # Softbank
E5A2;2666 # KDDIa
F0BF;2666 # KDDIb
E68F;2666 # Docomo
FEB1C;2666 # Google
E123;2668 # Softbank
E4BC;2668 # KDDIa
EF95;2668 # KDDIb
E6F7;2668 # Docomo
FE7FA;2668 # Google
EB79;267B # KDDIa
ED7D;267B # KDDIb
E735;267B # Docomo
FEB2C;267B # Google
E20A;267F # Softbank
E47F;267F # KDDIa
EF57;267F # KDDIb
E69B;267F # Docomo
FEB20;267F # Google
E4A9;2693 # KDDIa
EF82;2693 # KDDIb
FE4C1;2693 # Google
E252;26A0 # Softbank
E481;26A0 # KDDIa
EF59;26A0 # KDDIb
E737;26A0 # Docomo
FEB23;26A0 # Google
E13D;26A1 # Softbank
E487;26A1 # KDDIa
EF5F;26A1 # KDDIb
E642;26A1 # Docomo
FE004;26A1 # Google
E53A;26AA # KDDIa
F056;26AA # KDDIb
FEB65;26AA # Google
E53B;26AB # KDDIa
F057;26AB # KDDIb
FEB66;26AB # Google
E018;26BD # Softbank
E4B6;26BD # KDDIa
EF8F;26BD # KDDIb
E656;26BD # Docomo
FE7D4;26BD # Google
E016;26BE # Softbank
E4BA;26BE # KDDIa
EF93;26BE # KDDIb
E653;26BE # Docomo
FE7D1;26BE # Google
E048;26C4 # Softbank
E485;26C4 # KDDIa
EF5D;26C4 # KDDIb
E641;26C4 # Docomo
FE003;26C4 # Google
E48E;26C5 # KDDIa
EF66;26C5 # KDDIb
FE00F;26C5 # Google
E24B;26CE # Softbank
E49B;26CE # KDDIa
EF73;26CE # KDDIb
FE037;26CE # Google
E484;26D4 # KDDIa
EF5C;26D4 # KDDIb
FEB26;26D4 # Google
E037;26EA # Softbank
E5BB;26EA # KDDIa
F0EB;26EA # KDDIb
FE4BB;26EA # Google
E121;26F2 # Softbank
E5CF;26F2 # KDDIa
EC42;26F2 # KDDIb
FE4BC;26F2 # Google
E014;26F3 # Softbank
E599;26F3 # KDDIa
F0B6;26F3 # KDDIb
E654;26F3 # Docomo
FE7D2;26F3 # Google
E01C;26F5 # Softbank
E4B4;26F5 # KDDIa
EF8D;26F5 # KDDIb
E6A3;26F5 # Docomo
FE7EA;26F5 # Google
E122;26FA # Softbank
E5D0;26FA # KDDIa
EC43;26FA # KDDIb
FE7FB;26FA # Google
E03A;26FD # Softbank
E571;26FD # KDDIa
F08E;26FD # KDDIb
E66B;26FD # Docomo
FE7F5;26FD # Google
E313;2702 # Softbank
E516;2702 # KDDIa
EFEF;2702 # KDDIb
E675;2702 # Docomo
FE53E;2702 # Google
E55E;2705 # KDDIa
F07A;2705 # KDDIb
FEB4A;2705 # Google
E01D;2708 # Softbank
E4B3;2708 # KDDIa
EF8C;2708 # KDDIb
E662;2708 # Docomo
FE7E9;2708 # Google
E521;2709 # KDDIa
EFFA;2709 # KDDIb
E6D3;2709 # Docomo
FE529;2709 # Google
E010;270A # Softbank
EB83;270A # KDDIa
ED88;270A # KDDIb
E693;270A # Docomo
FEB93;270A # Google
E012;270B # Softbank
E5A7;270B # KDDIa
F0C4;270B # KDDIb
E695;270B # Docomo
FEB95;270B # Google
E011;270C # Softbank
E5A6;270C # KDDIa
F0C3;270C # KDDIb
E694;270C # Docomo
FEB94;270C # Google
E4A1;270F # KDDIa
EF79;270F # KDDIb
E719;270F # Docomo
FE539;270F # Google
EB03;2712 # KDDIa
F0DA;2712 # KDDIb
E6AE;2712 # Docomo
FE536;2712 # Google
E557;2714 # KDDIa
F073;2714 # KDDIb
FEB49;2714 # Google
E54F;2716 # KDDIa
F06B;2716 # KDDIb
FEB53;2716 # Google
E32E;2728 # Softbank
EAAB;2728 # KDDIa
EC7E;2728 # KDDIb
E6FA;2728 # Docomo
FEB60;2728 # Google
E206;2733 # Softbank
E53E;2733 # KDDIa
F05A;2733 # KDDIb
FEB62;2733 # Google
E205;2734 # Softbank
E479;2734 # KDDIa
EF51;2734 # KDDIb
FEB61;2734 # Google
E48A;2744 # KDDIa
EF62;2744 # KDDIb
FE00E;2744 # Google
E46C;2747 # KDDIa
EF44;2747 # KDDIb
FEB77;2747 # Google
E333;274C # Softbank
E550;274C # KDDIa
F06C;274C # KDDIb
FEB45;274C # Google
E551;274E # KDDIa
F06D;274E # KDDIb
FEB46;274E # Google
E020;2753 # Softbank
E483;2753 # KDDIa
EF5B;2753 # KDDIb
FEB09;2753 # Google
E336;2754 # Softbank
FEB0A;2754 # Google
E337;2755 # Softbank
FEB0B;2755 # Google
E021;2757 # Softbank
E482;2757 # KDDIa
EF5A;2757 # KDDIb
E702;2757 # Docomo
FEB04;2757 # Google
E022;2764 # Softbank
E595;2764 # KDDIa
F0B2;2764 # KDDIb
E6EC;2764 # Docomo
FEB0C;2764 # Google
E53C;2795 # KDDIa
F058;2795 # KDDIb
FEB51;2795 # Google
E53D;2796 # KDDIa
F059;2796 # KDDIb
FEB52;2796 # Google
E554;2797 # KDDIa
F070;2797 # KDDIb
FEB54;2797 # Google
E234;27A1 # Softbank
E552;27A1 # KDDIa
F06E;27A1 # KDDIb
FEAFA;27A1 # Google
EB31;27B0 # KDDIa
ECF2;27B0 # KDDIb
E70A;27B0 # Docomo
FEB08;27B0 # Google
EB2D;2934 # KDDIa
ECEE;2934 # KDDIb
E6F5;2934 # Docomo
FEAF4;2934 # Google
EB2E;2935 # KDDIa
ECEF;2935 # KDDIb
E700;2935 # Docomo
FEAF5;2935 # Google
E235;2B05 # Softbank
E553;2B05 # KDDIa
F06F;2B05 # KDDIb
FEAFB;2B05 # Google
E232;2B06 # Softbank
E53F;2B06 # KDDIa
F05B;2B06 # KDDIb
FEAF8;2B06 # Google
E233;2B07 # Softbank
E540;2B07 # KDDIa
F05C;2B07 # KDDIb
FEAF9;2B07 # Google
E549;2B1B # KDDIa
F065;2B1B # KDDIb
FEB6C;2B1B # Google
E548;2B1C # KDDIa
F064;2B1C # KDDIb
FEB6B;2B1C # Google
E32F;2B50 # Softbank
E48B;2B50 # KDDIa
EF63;2B50 # KDDIb
FEB68;2B50 # Google
E332;2B55 # Softbank
EAAD;2B55 # KDDIa
EC81;2B55 # KDDIb
FEB44;2B55 # Google
E709;3030 # Docomo
FEB07;3030 # Google
E12C;303D # Softbank
FE81B;303D # Google
E30D;3297 # Softbank
EA99;3297 # KDDIa
EC6C;3297 # KDDIb
FEB43;3297 # Google
E315;3299 # Softbank
E4F1;3299 # KDDIa
EFCA;3299 # KDDIb
E734;3299 # Docomo
FEB2B;3299 # Google
